════════════════════════════════════════════════════════════════
  TRADING BOT — DAILY REPORT
  Thursday, August 13 2026   18:11 EDT
════════════════════════════════════════════════════════════════

ACCOUNT
────────────────────────────────────────────────────────────────
  Portfolio value  $  107,295.93
  Cash             $  107,295.93
  Buying power     $  429,183.72

OPEN POSITIONS
────────────────────────────────────────────────────────────────
  None.

CLOSED TODAY (0)
────────────────────────────────────────────────────────────────
  None.

P&L SUMMARY
────────────────────────────────────────────────────────────────
  Today realised             $+0.00
  All-time realised      $+7,547.70
  Open unrealised            $+0.00
  Net (realised+open)    $+7,547.70

  Closed trades                   4
  Win rate                    75.0%
  Avg winner             $+3,016.40
  Avg loser              $-1,501.50
  Reward/risk ratio           2.01×

SKIPPED TODAY — ≥4★ SETUPS NOT TRADED (70)
────────────────────────────────────────────────────────────────
  FBRX    ★★★★★  low opening volume (RVOL=1.06x, need ≥1.5x)
  CDNA    ★★★★★  low opening volume (RVOL=0.21x, need ≥1.5x)
  FEIM    ★★★★★  low opening volume (RVOL=0.31x, need ≥1.5x)
  PAY     ★★★★★  low opening volume (RVOL=0.19x, need ≥1.5x)
  WGS     ★★★★★  low opening volume (RVOL=0.19x, need ≥1.5x)
  TRAX    ★★★★★  low opening volume (RVOL=0.82x, need ≥1.5x)
  GSHD    ★★★★★  low opening volume (RVOL=0.53x, need ≥1.5x)
  QURE    ★★★★★  low opening volume (RVOL=0.34x, need ≥1.5x)
  MBX     ★★★★★  low opening volume (RVOL=0.26x, need ≥1.5x)
  ADPT    ★★★★★  low opening volume (RVOL=0.20x, need ≥1.5x)
  DFNS    ★★★★☆  low opening volume (RVOL=0.01x, need ≥1.5x)
  AMDD    ★★★★☆  low opening volume (RVOL=1.09x, need ≥1.5x)
  EFOR    ★★★★☆  low opening volume (RVOL=0.14x, need ≥1.5x)
  HZO     ★★★★☆  low opening volume (RVOL=0.71x, need ≥1.5x)
  RNG     ★★★★☆  low opening volume (RVOL=0.17x, need ≥1.5x)
  MSFU    ★★★★☆  low opening volume (RVOL=0.73x, need ≥1.5x)
  MSFL    ★★★★☆  low opening volume (RVOL=0.54x, need ≥1.5x)
  FORM    ★★★★☆  low opening volume (RVOL=0.58x, need ≥1.5x)
  INTA    ★★★★☆  low opening volume (RVOL=0.27x, need ≥1.5x)
  BAND    ★★★★☆  low opening volume (RVOL=0.18x, need ≥1.5x)
  MAN     ★★★★☆  low opening volume (RVOL=0.32x, need ≥1.5x)
  QLYS    ★★★★☆  low opening volume (RVOL=0.39x, need ≥1.5x)
  WYFI    ★★★★☆  ORB range $3.46 > ATR $3.21 — risk too wide  [ORB $3.46 vs ATR $3.21]
  COAG    ★★★★☆  low opening volume (RVOL=0.24x, need ≥1.5x)
  PENG    ★★★★☆  low opening volume (RVOL=0.44x, need ≥1.5x)
  ORKA    ★★★★☆  low opening volume (RVOL=0.25x, need ≥1.5x)
  MXL     ★★★★☆  low opening volume (RVOL=0.43x, need ≥1.5x)
  CORT    ★★★★☆  low opening volume (RVOL=0.09x, need ≥1.5x)
  ALAB    ★★★★☆  low opening volume (RVOL=0.57x, need ≥1.5x)
  NAVN    ★★★★☆  low opening volume (RVOL=0.17x, need ≥1.5x)
  AMDL    ★★★★☆  low opening volume (RVOL=1.37x, need ≥1.5x)
  AMUU    ★★★★☆  low opening volume (RVOL=0.89x, need ≥1.5x)
  MU      ★★★★☆  low opening volume (RVOL=0.84x, need ≥1.5x)
  CBRL    ★★★★☆  low opening volume (RVOL=0.49x, need ≥1.5x)
  SYRE    ★★★★☆  low opening volume (RVOL=0.49x, need ≥1.5x)
  FBRX    ★★★★★  low opening volume (RVOL=1.05x, need ≥1.5x)
  CDNA    ★★★★★  low opening volume (RVOL=0.21x, need ≥1.5x)
  FEIM    ★★★★★  low opening volume (RVOL=0.31x, need ≥1.5x)
  PAY     ★★★★★  low opening volume (RVOL=0.19x, need ≥1.5x)
  WGS     ★★★★★  low opening volume (RVOL=0.19x, need ≥1.5x)
  TRAX    ★★★★★  low opening volume (RVOL=0.81x, need ≥1.5x)
  GSHD    ★★★★★  low opening volume (RVOL=0.53x, need ≥1.5x)
  QURE    ★★★★★  low opening volume (RVOL=0.34x, need ≥1.5x)
  MBX     ★★★★★  low opening volume (RVOL=0.26x, need ≥1.5x)
  ADPT    ★★★★★  low opening volume (RVOL=0.20x, need ≥1.5x)
  DFNS    ★★★★☆  low opening volume (RVOL=0.01x, need ≥1.5x)
  AMDD    ★★★★☆  low opening volume (RVOL=1.09x, need ≥1.5x)
  EFOR    ★★★★☆  low opening volume (RVOL=0.14x, need ≥1.5x)
  HZO     ★★★★☆  low opening volume (RVOL=0.71x, need ≥1.5x)
  RNG     ★★★★☆  low opening volume (RVOL=0.17x, need ≥1.5x)
  MSFU    ★★★★☆  low opening volume (RVOL=0.73x, need ≥1.5x)
  MSFL    ★★★★☆  low opening volume (RVOL=0.54x, need ≥1.5x)
  FORM    ★★★★☆  low opening volume (RVOL=0.58x, need ≥1.5x)
  INTA    ★★★★☆  low opening volume (RVOL=0.27x, need ≥1.5x)
  BAND    ★★★★☆  low opening volume (RVOL=0.18x, need ≥1.5x)
  MAN     ★★★★☆  low opening volume (RVOL=0.32x, need ≥1.5x)
